"table_schema","table_name","column_name","ordinal_position","data_type","numeric_precision","numeric_scale","character_maximum_length","is_nullable","is_pk","is_fk","fk_table_name","fk_column_name","schema","table_name-2","column_name-2","comment","object_type"
"public","tbl_abundance_modifications","abundance_id",2,"integer",32,0,NULL,"NO","NO","YES","tbl_abundances","abundance_id","public","tbl_abundance_modifications","abundance_id","Specifies the related abundance record.","column"
"public","tbl_abundance_modifications","modification_type_id",3,"integer",32,0,NULL,"NO","NO","YES","tbl_modification_types","modification_type_id","public","tbl_abundance_modifications","modification_type_id","Specifies the type of modification applied.","column"
"public","tbl_abundance_modifications","date_updated",4,"timestamp with time zone",NULL,NULL,NULL,"YES","NO","NO",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"public","tbl_abundances","abundance_id",1,"bigint",64,0,NULL,"NO","YES","NO",NULL,NULL,"public","tbl_abundances","abundance_id","Primary key (automatically incremented).","column"
"public","tbl_abundances","taxon_id",2,"integer",32,0,NULL,"NO","NO","YES","tbl_taxa_tree_master","taxon_id","public","tbl_abundances","taxon_id","Specifies the taxonomic unit related to this record.","column"
"public","tbl_abundances","analysis_entity_id",3,"bigint",64,0,NULL,"NO","NO","YES","tbl_analysis_entities","analysis_entity_id","public","tbl_abundances","analysis_entity_id","Identifies the specific analysis entity associated with this record.","column"
"public","tbl_abundances","abundance_element_id",4,"integer",32,0,NULL,"YES","NO","YES","tbl_abundance_elements","abundance_element_id","public","tbl_abundances","abundance_element_id","Specifies specific parts of a taxon, like leaf, seed, or MNI (Minimum Number of Individuals), enabling detailed taxonomic recording.","column"
"public","tbl_abundances","abundance",5,"integer",32,0,NULL,"NO","NO","NO",NULL,NULL,"public","tbl_abundances","abundance","Represents the frequency of occurrence, which is usually a numerical count, but can also indicate presence (1), a categorical value, or a value on a relative scale, in accordance with the dataset's data type.","column"
"public","tbl_abundances","date_updated",6,"timestamp with time zone",NULL,NULL,NULL,"YES","NO","NO",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"public","tbl_activity_types","activity_type_id",1,"integer",32,0,NULL,"NO","YES","NO",NULL,NULL,"public","tbl_activity_types","activity_type_id","Primary key (automatically incremented).","column"
"public","tbl_activity_types","activity_type",2,"character varying",NULL,NULL,50,"YES","NO","NO",NULL,NULL,"public","tbl_activity_types","activity_type","Name showing the type of activity or life stage.","column"
"public","tbl_activity_types","description",3,"text",NULL,NULL,NULL,"YES","NO","NO",NULL,NULL,"public","tbl_activity_types","description","Detailed description of the organism's state during the specified time, such as 'adult' or 'flowering'.","column"
"public","tbl_activity_types","date_updated",4,"timestamp with time zone",NULL,NULL,NULL,"YES","NO","NO",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"public","tbl_age_types","age_type_id",1,"integer",32,0,NULL,"NO","YES","NO",NULL,NULL,"public","tbl_age_types","age_type_id","Primary key (automatically incremented).","column"
"public","tbl_age_types","age_type",2,"character varying",NULL,NULL,150,"NO","NO","NO",NULL,NULL,"public","tbl_age_types","age_type","Abbreviation representing the chronological system (e.g., AD, BC, BP).","column"
"public","tbl_age_types","description",3,"text",NULL,NULL,NULL,"YES","NO","NO",NULL,NULL,"public","tbl_age_types","description","Detailed explanation of the chronological system denoted by the abbreviation.","column"
"public","tbl_age_types","date_updated",4,"timestamp with time zone",NULL,NULL,NULL,"YES","NO","NO",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"public","tbl_aggregate_datasets","aggregate_dataset_id",1,"integer",32,0,NULL,"NO","YES","NO",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"public","tbl_aggregate_datasets","aggregate_order_type_id",2,"integer",32,0,NULL,"NO","NO","YES","tbl_aggregate_order_types","aggregate_order_type_id",NULL,NULL,NULL,NULL,NULL
"public","tbl_aggregate_datasets","biblio_id",3,"integer",32,0,NULL,"YES","NO","YES","tbl_biblio","biblio_id",NULL,NULL,NULL,NULL,NULL
"public","tbl_aggregate_datasets","aggregate_dataset_name",4,"character varying",NULL,NULL,255,"YES","NO","NO",NULL,NULL,"public","tbl_aggregate_datasets","aggregate_dataset_name","name of aggregated dataset","column"
"public","tbl_aggregate_datasets","date_updated",5,"timestamp with time zone",NULL,NULL,NULL,"YES","NO","NO",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"public","tbl_aggregate_datasets","description",6,"text",NULL,NULL,NULL,"YES","NO","NO",NULL,NULL,"public","tbl_aggregate_datasets","description","Notes explaining the purpose of the aggregated set of analysis entities","column"
"public","tbl_aggregate_datasets","aggregate_dataset_uuid",7,"uuid",NULL,NULL,NULL,"NO","NO","NO",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"public","tbl_aggregate_order_types","aggregate_order_type_id",1,"integer",32,0,NULL,"NO","YES","NO",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"public","tbl_aggregate_order_types","aggregate_order_type",2,"character varying",NULL,NULL,60,"NO","NO","NO",NULL,NULL,"public","tbl_aggregate_order_types","aggregate_order_type","aggregate order name, e.g. site name, age, sample depth, altitude","column"
"public","tbl_aggregate_order_types","date_updated",3,"timestamp with time zone",NULL,NULL,NULL,"YES","NO","NO",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"public","tbl_aggregate_order_types","description",4,"text",NULL,NULL,NULL,"YES","NO","NO",NULL,NULL,"public","tbl_aggregate_order_types","description","explanation of ordering system","column"
"public","tbl_aggregate_sample_ages","aggregate_sample_age_id",1,"integer",32,0,NULL,"NO","YES","NO",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"public","tbl_aggregate_sample_ages","aggregate_dataset_id",2,"integer",32,0,NULL,"NO","NO","YES","tbl_aggregate_datasets","aggregate_dataset_id",NULL,NULL,NULL,NULL,NULL
"public","tbl_aggregate_sample_ages","analysis_entity_age_id",3,"integer",32,0,NULL,"NO","NO","YES","tbl_analysis_entity_ages","analysis_entity_age_id",NULL,NULL,NULL,NULL,NULL
"public","tbl_aggregate_sample_ages","date_updated",4,"timestamp with time zone",NULL,NULL,NULL,"YES","NO","NO",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"public","tbl_aggregate_samples","aggregate_sample_id",1,"integer",32,0,NULL,"NO","YES","NO",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"public","tbl_aggregate_samples","aggregate_dataset_id",2,"integer",32,0,NULL,"NO","NO","YES","tbl_aggregate_datasets","aggregate_dataset_id",NULL,NULL,NULL,NULL,NULL
"public","tbl_aggregate_samples","analysis_entity_id",3,"bigint",64,0,NULL,"NO","NO","YES","tbl_analysis_entities","analysis_entity_id",NULL,NULL,NULL,NULL,NULL
"public","tbl_aggregate_samples","aggregate_sample_name",4,"character varying",NULL,NULL,50,"YES","NO","NO",NULL,NULL,"public","tbl_aggregate_samples","aggregate_sample_name","optional name for aggregated entity.","column"
"public","tbl_aggregate_samples","date_updated",5,"timestamp with time zone",NULL,NULL,NULL,"YES","NO","NO",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"public","tbl_alt_ref_types","alt_ref_type_id",1,"integer",32,0,NULL,"NO","YES","NO",NULL,NULL,"public","tbl_alt_ref_types","alt_ref_type_id","Primary key (automatically incremented).","column"
"public","tbl_alt_ref_types","alt_ref_type",2,"character varying",NULL,NULL,50,"NO","NO","NO",NULL,NULL,"public","tbl_alt_ref_types","alt_ref_type","The name or type of the alternative reference assigned to a sample.","column"
"public","tbl_alt_ref_types","date_updated",3,"timestamp with time zone",NULL,NULL,NULL,"YES","NO","NO",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"public","tbl_alt_ref_types","description",4,"text",NULL,NULL,NULL,"YES","NO","NO",NULL,NULL,"public","tbl_alt_ref_types","description","A detailed description of the alternative reference type, providing additional context or clarification.","column"
"public","tbl_analysis_boolean_values","analysis_boolean_value_id",1,"integer",32,0,NULL,"NO","YES","NO",NULL,NULL,"public","tbl_analysis_boolean_values","analysis_boolean_value_id","Primary key (automatically incremented).","column"
"public","tbl_analysis_boolean_values","analysis_value_id",2,"bigint",64,0,NULL,"NO","NO","YES","tbl_analysis_values","analysis_value_id","public","tbl_analysis_boolean_values","analysis_value_id","Identifies the specific analysis value associated with this data.","column"
"public","tbl_analysis_boolean_values","qualifier",3,"text",NULL,NULL,NULL,"YES","NO","NO",NULL,NULL,"public","tbl_analysis_boolean_values","qualifier","Additional information qualifying the value.","column"
"public","tbl_analysis_boolean_values","value",4,"boolean",NULL,NULL,NULL,"YES","NO","NO",NULL,NULL,"public","tbl_analysis_boolean_values","value","The boolean value (e.g., true/false or 1/0).","column"
"public","tbl_analysis_categorical_values","analysis_categorical_value_id",1,"bigint",64,0,NULL,"NO","YES","NO",NULL,NULL,"public","tbl_analysis_categorical_values","analysis_categorical_value_id","Primary key (automatically incremented).","column"
"public","tbl_analysis_categorical_values","analysis_value_id",2,"bigint",64,0,NULL,"NO","NO","YES","tbl_analysis_values","analysis_value_id","public","tbl_analysis_categorical_values","analysis_value_id","Identifies the specific analysis value associated with this data.","column"
"public","tbl_analysis_categorical_values","value_type_item_id",3,"integer",32,0,NULL,"NO","NO","YES","tbl_value_type_items","value_type_item_id","public","tbl_analysis_categorical_values","value_type_item_id","References the predefined category type.","column"
"public","tbl_analysis_categorical_values","value",4,"numeric",20,10,NULL,"YES","NO","NO",NULL,NULL,"public","tbl_analysis_categorical_values","value","The categorical value assigned to the analysis.","column"
"public","tbl_analysis_categorical_values","is_variant",5,"boolean",NULL,NULL,NULL,"YES","NO","NO",NULL,NULL,"public","tbl_analysis_categorical_values","is_variant","Indicates if value is an alternative interpretation of analysed value.","column"
"public","tbl_analysis_dating_ranges","analysis_dating_range_id",1,"bigint",64,0,NULL,"NO","YES","NO",NULL,NULL,"public","tbl_analysis_dating_ranges","analysis_dating_range_id","Primary key (automatically incremented).","column"
"public","tbl_analysis_dating_ranges","analysis_value_id",2,"bigint",64,0,NULL,"NO","NO","YES","tbl_analysis_values","analysis_value_id","public","tbl_analysis_dating_ranges","analysis_value_id","Identifies the specific analysis value associated with this data.","column"
"public","tbl_analysis_dating_ranges","low_value",3,"integer",32,0,NULL,"YES","NO","NO",NULL,NULL,"public","tbl_analysis_dating_ranges","low_value","The lower value of the range.","column"
"public","tbl_analysis_dating_ranges","high_value",4,"integer",32,0,NULL,"YES","NO","NO",NULL,NULL,"public","tbl_analysis_dating_ranges","high_value","The higher value of the range.","column"
"public","tbl_analysis_dating_ranges","low_is_uncertain",5,"boolean",NULL,NULL,NULL,"YES","NO","NO",NULL,NULL,"public","tbl_analysis_dating_ranges","low_is_uncertain","Indicates if lower value is uncertain (e.g. question mark).","column"
"public","tbl_analysis_dating_ranges","high_is_uncertain",6,"boolean",NULL,NULL,NULL,"YES","NO","NO",NULL,NULL,"public","tbl_analysis_dating_ranges","high_is_uncertain","Indicates if higher value is uncertain (e.g. question mark).","column"
"public","tbl_analysis_dating_ranges","low_qualifier",7,"text",NULL,NULL,NULL,"YES","NO","YES","tbl_value_qualifier_symbols","symbol","public","tbl_analysis_dating_ranges","low_qualifier","Additional information qualifying the lower value.","column"
"public","tbl_analysis_dating_ranges","high_qualifier",8,"text",NULL,NULL,NULL,"YES","NO","YES","tbl_value_qualifier_symbols","symbol","public","tbl_analysis_dating_ranges","high_qualifier","Additional information qualifying the higher value.","column"
"public","tbl_analysis_dating_ranges","age_type_id",9,"integer",32,0,NULL,"NO","NO","YES","tbl_age_types","age_type_id","public","tbl_analysis_dating_ranges","age_type_id","Specifies the chronological system (e.g., AD, BC, BP).","column"
"public","tbl_analysis_dating_ranges","season_id",10,"integer",32,0,NULL,"YES","NO","YES","tbl_seasons","season_id","public","tbl_analysis_dating_ranges","season_id","Limits the dating range to a particular season.","column"
"public","tbl_analysis_dating_ranges","dating_uncertainty_id",11,"integer",32,0,NULL,"YES","NO","YES","tbl_dating_uncertainty","dating_uncertainty_id","public","tbl_analysis_dating_ranges","dating_uncertainty_id","Specifies the uncertainty category related to the dating method used.","column"
"public","tbl_analysis_dating_ranges","is_variant",12,"boolean",NULL,NULL,NULL,"YES","NO","NO",NULL,NULL,"public","tbl_analysis_dating_ranges","is_variant","Indicates if value is an alternative interpretation of analysed value.","column"
"public","tbl_analysis_entities","analysis_entity_id",1,"bigint",64,0,NULL,"NO","YES","NO",NULL,NULL,"public","tbl_analysis_entities","analysis_entity_id","Primary key (automatically incremented).","column"
"public","tbl_analysis_entities","physical_sample_id",2,"integer",32,0,NULL,"YES","NO","YES","tbl_physical_samples","physical_sample_id","public","tbl_analysis_entities","physical_sample_id","Identifies the specific physical sample.","column"
"public","tbl_analysis_entities","dataset_id",3,"integer",32,0,NULL,"YES","NO","YES","tbl_datasets","dataset_id","public","tbl_analysis_entities","dataset_id","Specifies the dataset the analysis entity belongs to.","column"
"public","tbl_analysis_entities","date_updated",4,"timestamp with time zone",NULL,NULL,NULL,"YES","NO","NO",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"public","tbl_analysis_entity_ages","analysis_entity_age_id",1,"integer",32,0,NULL,"NO","YES","NO",NULL,NULL,"public","tbl_analysis_entity_ages","analysis_entity_age_id","Primary key (automatically incremented).","column"
"public","tbl_analysis_entity_ages","age",2,"numeric",20,5,NULL,"YES","NO","NO",NULL,NULL,"public","tbl_analysis_entity_ages","age","Represents the estimated age derived from analysis.","column"
"public","tbl_analysis_entity_ages","age_older",3,"numeric",20,5,NULL,"YES","NO","NO",NULL,NULL,"public","tbl_analysis_entity_ages","age_older","The upper bound of the age range estimate.","column"
"public","tbl_analysis_entity_ages","age_younger",4,"numeric",20,5,NULL,"YES","NO","NO",NULL,NULL,"public","tbl_analysis_entity_ages","age_younger","The lower bound of the age range estimate.","column"
"public","tbl_analysis_entity_ages","analysis_entity_id",5,"bigint",64,0,NULL,"YES","NO","YES","tbl_analysis_entities","analysis_entity_id","public","tbl_analysis_entity_ages","analysis_entity_id","Identifies the specific analysis entity associated with this record.","column"
"public","tbl_analysis_entity_ages","chronology_id",6,"integer",32,0,NULL,"YES","NO","YES","tbl_chronologies","chronology_id","public","tbl_analysis_entity_ages","chronology_id","Specifies the the identifier of a specific chronology.","column"
"public","tbl_analysis_entity_ages","date_updated",7,"timestamp with time zone",NULL,NULL,NULL,"YES","NO","NO",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"public","tbl_analysis_entity_ages","dating_specifier",8,"text",NULL,NULL,NULL,"YES","NO","NO",NULL,NULL,"public","tbl_analysis_entity_ages","dating_specifier","Specifies the method or criteria used for dating the sample.","column"
"public","tbl_analysis_entity_ages","age_range",9,"int4range",NULL,NULL,NULL,"YES","NO","NO",NULL,NULL,"public","tbl_analysis_entity_ages","age_range","The range as a tyed (int4range) value.","column"
"public","tbl_analysis_entity_dimensions","analysis_entity_dimension_id",1,"integer",32,0,NULL,"NO","YES","NO",NULL,NULL,"public","tbl_analysis_entity_dimensions","analysis_entity_dimension_id","Primary key (automatically incremented).","column"
"public","tbl_analysis_entity_dimensions","analysis_entity_id",2,"bigint",64,0,NULL,"NO","NO","YES","tbl_analysis_entities","analysis_entity_id","public","tbl_analysis_entity_dimensions","analysis_entity_id","Identifies the specific analysis entity associated with this record.","column"
"public","tbl_analysis_entity_dimensions","dimension_id",3,"integer",32,0,NULL,"NO","NO","YES","tbl_dimensions","dimension_id","public","tbl_analysis_entity_dimensions","dimension_id","Specifies the specific dimension being measured  (e.g., length, width, height)..","column"
"public","tbl_analysis_entity_dimensions","dimension_value",4,"numeric",NULL,NULL,NULL,"NO","NO","NO",NULL,NULL,"public","tbl_analysis_entity_dimensions","dimension_value","The quantified value of the measured dimension.","column"
"public","tbl_analysis_entity_dimensions","date_updated",5,"timestamp with time zone",NULL,NULL,NULL,"YES","NO","NO",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"public","tbl_analysis_entity_prep_methods","analysis_entity_prep_method_id",1,"integer",32,0,NULL,"NO","YES","NO",NULL,NULL,"public","tbl_analysis_entity_prep_methods","analysis_entity_prep_method_id","Primary key (automatically incremented).","column"
"public","tbl_analysis_entity_prep_methods","analysis_entity_id",2,"bigint",64,0,NULL,"NO","NO","YES","tbl_analysis_entities","analysis_entity_id","public","tbl_analysis_entity_prep_methods","analysis_entity_id","Identifies the specific analysis entity associated with this record.","column"
"public","tbl_analysis_entity_prep_methods","method_id",3,"integer",32,0,NULL,"NO","NO","YES","tbl_methods","method_id","public","tbl_analysis_entity_prep_methods","method_id","Specifies the preparation method related to the analysis entity.","column"
"public","tbl_analysis_entity_prep_methods","date_updated",4,"timestamp with time zone",NULL,NULL,NULL,"YES","NO","NO",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"public","tbl_analysis_identifiers","analysis_identifier_id",1,"bigint",64,0,NULL,"NO","YES","NO",NULL,NULL,"public","tbl_analysis_identifiers","analysis_identifier_id","Primary key (automatically incremented).","column"
"public","tbl_analysis_identifiers","analysis_value_id",2,"bigint",64,0,NULL,"NO","NO","YES","tbl_analysis_values","analysis_value_id","public","tbl_analysis_identifiers","analysis_value_id","Identifies the specific analysis value associated with this data.","column"
"public","tbl_analysis_identifiers","value",3,"text",NULL,NULL,NULL,"NO","NO","NO",NULL,NULL,"public","tbl_analysis_identifiers","value","The identifier value.","column"
"public","tbl_analysis_integer_ranges","analysis_integer_range_id",1,"bigint",64,0,NULL,"NO","YES","NO",NULL,NULL,"public","tbl_analysis_integer_ranges","analysis_integer_range_id","Primary key (automatically incremented).","column"
"public","tbl_analysis_integer_ranges","analysis_value_id",2,"bigint",64,0,NULL,"NO","NO","YES","tbl_analysis_values","analysis_value_id","public","tbl_analysis_integer_ranges","analysis_value_id","Identifies the specific analysis value associated with this data.","column"
"public","tbl_analysis_integer_ranges","low_value",3,"integer",32,0,NULL,"YES","NO","NO",NULL,NULL,"public","tbl_analysis_integer_ranges","low_value","The lower value of the analysis.","column"
"public","tbl_analysis_integer_ranges","high_value",4,"integer",32,0,NULL,"YES","NO","NO",NULL,NULL,"public","tbl_analysis_integer_ranges","high_value","The higher value of the analysis.","column"
"public","tbl_analysis_integer_ranges","low_is_uncertain",5,"boolean",NULL,NULL,NULL,"YES","NO","NO",NULL,NULL,"public","tbl_analysis_integer_ranges","low_is_uncertain","Indicates if lower value is uncertain (e.g. question mark).","column"
"public","tbl_analysis_integer_ranges","high_is_uncertain",6,"boolean",NULL,NULL,NULL,"YES","NO","NO",NULL,NULL,"public","tbl_analysis_integer_ranges","high_is_uncertain","Indicates if higher value is uncertain (e.g. question mark).","column"
"public","tbl_analysis_integer_ranges","low_qualifier",7,"text",NULL,NULL,NULL,"YES","NO","YES","tbl_value_qualifier_symbols","symbol","public","tbl_analysis_integer_ranges","low_qualifier","Additional information qualifying the lower value.","column"
"public","tbl_analysis_integer_ranges","high_qualifier",8,"text",NULL,NULL,NULL,"YES","NO","YES","tbl_value_qualifier_symbols","symbol","public","tbl_analysis_integer_ranges","high_qualifier","Additional information qualifying the higher value.","column"
"public","tbl_analysis_integer_ranges","is_variant",9,"boolean",NULL,NULL,NULL,"YES","NO","NO",NULL,NULL,"public","tbl_analysis_integer_ranges","is_variant","Indicates if value is an alternative interpretation of analysed value.","column"
"public","tbl_analysis_integer_values","analysis_integer_value_id",1,"bigint",64,0,NULL,"NO","YES","NO",NULL,NULL,"public","tbl_analysis_integer_values","analysis_integer_value_id","Primary key (automatically incremented).","column"
"public","tbl_analysis_integer_values","analysis_value_id",2,"bigint",64,0,NULL,"NO","NO","YES","tbl_analysis_values","analysis_value_id","public","tbl_analysis_integer_values","analysis_value_id","Identifies the specific analysis value associated with this data.","column"
"public","tbl_analysis_integer_values","qualifier",3,"text",NULL,NULL,NULL,"YES","NO","YES","tbl_value_qualifier_symbols","symbol","public","tbl_analysis_integer_values","qualifier","Additional information qualifying the value.","column"
"public","tbl_analysis_integer_values","value",4,"integer",32,0,NULL,"YES","NO","NO",NULL,NULL,"public","tbl_analysis_integer_values","value","The analysed value interpretated as an integer value.","column"
"public","tbl_analysis_integer_values","is_variant",5,"boolean",NULL,NULL,NULL,"YES","NO","NO",NULL,NULL,"public","tbl_analysis_integer_values","is_variant","Indicates if value is an alternative interpretation of analysed value.","column"
"public","tbl_analysis_notes","analysis_note_id",1,"bigint",64,0,NULL,"NO","YES","NO",NULL,NULL,"public","tbl_analysis_notes","analysis_note_id","Primary key (automatically incremented).","column"
"public","tbl_analysis_notes","analysis_value_id",2,"bigint",64,0,NULL,"NO","NO","YES","tbl_analysis_values","analysis_value_id","public","tbl_analysis_notes","analysis_value_id","Identifies the specific analysis value associated with this data.","column"
"public","tbl_analysis_notes","value",3,"text",NULL,NULL,NULL,"NO","NO","NO",NULL,NULL,"public","tbl_analysis_notes","value","The actal note.","column"
"public","tbl_analysis_numerical_ranges","analysis_numerical_range_id",1,"bigint",64,0,NULL,"NO","YES","NO",NULL,NULL,"public","tbl_analysis_numerical_ranges","analysis_numerical_range_id","Primary key (automatically incremented).","column"
"public","tbl_analysis_numerical_ranges","analysis_value_id",2,"bigint",64,0,NULL,"NO","NO","YES","tbl_analysis_values","analysis_value_id","public","tbl_analysis_numerical_ranges","analysis_value_id","Identifies the specific analysis value associated with this data.","column"
"public","tbl_analysis_numerical_ranges","value",3,"numrange",NULL,NULL,NULL,"NO","NO","NO",NULL,NULL,"public","tbl_analysis_numerical_ranges","value","The analysed value interpretated as a numerical (decimal) range.","column"
"public","tbl_analysis_numerical_ranges","low_is_uncertain",4,"boolean",NULL,NULL,NULL,"YES","NO","NO",NULL,NULL,"public","tbl_analysis_numerical_ranges","low_is_uncertain","Indicates if lower value is uncertain (e.g. question mark).","column"
"public","tbl_analysis_numerical_ranges","high_is_uncertain",5,"boolean",NULL,NULL,NULL,"YES","NO","NO",NULL,NULL,"public","tbl_analysis_numerical_ranges","high_is_uncertain","Indicates if higher value is uncertain (e.g. question mark).","column"
"public","tbl_analysis_numerical_ranges","low_qualifier",6,"text",NULL,NULL,NULL,"YES","NO","YES","tbl_value_qualifier_symbols","symbol","public","tbl_analysis_numerical_ranges","low_qualifier","Additional information qualifying the lower value.","column"
"public","tbl_analysis_numerical_ranges","high_qualifier",7,"text",NULL,NULL,NULL,"YES","NO","YES","tbl_value_qualifier_symbols","symbol","public","tbl_analysis_numerical_ranges","high_qualifier","Additional information qualifying the higher value.","column"
"public","tbl_analysis_numerical_ranges","is_variant",8,"boolean",NULL,NULL,NULL,"YES","NO","NO",NULL,NULL,"public","tbl_analysis_numerical_ranges","is_variant","Indicates if value is an alternative interpretation of analysed value.","column"
"public","tbl_analysis_numerical_values","analysis_numerical_value_id",1,"bigint",64,0,NULL,"NO","YES","NO",NULL,NULL,"public","tbl_analysis_numerical_values","analysis_numerical_value_id","Primary key (automatically incremented).","column"
"public","tbl_analysis_numerical_values","analysis_value_id",2,"bigint",64,0,NULL,"NO","NO","YES","tbl_analysis_values","analysis_value_id","public","tbl_analysis_numerical_values","analysis_value_id","Identifies the specific analysis value associated with this data.","column"
"public","tbl_analysis_numerical_values","qualifier",3,"text",NULL,NULL,NULL,"YES","NO","YES","tbl_value_qualifier_symbols","symbol","public","tbl_analysis_numerical_values","qualifier","Additional information qualifying the value.","column"
"public","tbl_analysis_numerical_values","value",4,"numeric",20,10,NULL,"YES","NO","NO",NULL,NULL,"public","tbl_analysis_numerical_values","value","The analysed value interpretated as a numerical (decimal) value.","column"
"public","tbl_analysis_numerical_values","is_variant",5,"boolean",NULL,NULL,NULL,"YES","NO","NO",NULL,NULL,"public","tbl_analysis_numerical_values","is_variant","Indicates if value is an alternative interpretation of analysed value.","column"
"public","tbl_analysis_taxon_counts","analysis_taxon_count_id",1,"integer",32,0,NULL,"NO","YES","NO",NULL,NULL,"public","tbl_analysis_taxon_counts","analysis_taxon_count_id","Primary key (automatically incremented).","column"
"public","tbl_analysis_taxon_counts","analysis_value_id",2,"bigint",64,0,NULL,"NO","NO","YES","tbl_analysis_values","analysis_value_id","public","tbl_analysis_taxon_counts","analysis_value_id","Identifies the specific analysis value associated with this data.","column"
"public","tbl_analysis_taxon_counts","taxon_id",3,"integer",32,0,NULL,"NO","NO","YES","tbl_taxa_tree_master","taxon_id","public","tbl_analysis_taxon_counts","taxon_id","Specifies the taxonomic unit related to this record.","column"
"public","tbl_analysis_taxon_counts","value",4,"numeric",20,10,NULL,"NO","NO","NO",NULL,NULL,"public","tbl_analysis_taxon_counts","value","The count of specified taxon.","column"
"public","tbl_analysis_value_dimensions","analysis_value_dimension_id",1,"integer",32,0,NULL,"NO","YES","NO",NULL,NULL,"public","tbl_analysis_value_dimensions","analysis_value_dimension_id","Primary key (automatically incremented).","column"
"public","tbl_analysis_value_dimensions","analysis_value_id",2,"bigint",64,0,NULL,"NO","NO","YES","tbl_analysis_values","analysis_value_id","public","tbl_analysis_value_dimensions","analysis_value_id","Identifies the specific analysis value associated with this data.","column"
"public","tbl_analysis_value_dimensions","dimension_id",3,"integer",32,0,NULL,"NO","NO","YES","tbl_dimensions","dimension_id","public","tbl_analysis_value_dimensions","dimension_id","Specifies the specific dimension being measured  (e.g., length, width, height)..","column"
"public","tbl_analysis_value_dimensions","value",4,"numeric",20,10,NULL,"NO","NO","NO",NULL,NULL,"public","tbl_analysis_value_dimensions","value","The value of specified dimension.","column"
"public","tbl_analysis_values","analysis_value_id",1,"bigint",64,0,NULL,"NO","YES","NO",NULL,NULL,"public","tbl_analysis_values","analysis_value_id","Primary key (automatically incremented).","column"
"public","tbl_analysis_values","value_class_id",2,"integer",32,0,NULL,"NO","NO","YES","tbl_value_classes","value_class_id","public","tbl_analysis_values","value_class_id","Reference to associated value class that specifies kind of analysis value.","column"
