"table_name","comment"
"tbl_relative_age_types","Contains various types of relative ages used in different contexts such as archaeological, Blytt-Sernander, and Geological. These age types can vary in specificity, ranging from well-defined systems like Blytt-Sernander to broader categories like geological periods."
"tbl_relative_ages","Contains definitions of ages based on historical periods or calendar events, including age ranges and geographical relevance (e.g., Mesolithic in Sweden)."
"tbl_relative_dates","Records the relative dating information for samples by associating a relative age definition with a physical sample through an analysis entity. It includes details about dating methods, notes, and indications of uncertainty (e.g., 'from', 'ca', '<')."
"tbl_sample_alt_refs","Contains various reference names for physical samples, such as laboratory or field numbers."
"tbl_sample_colours","Contains information about the colors related to physical samples."
"tbl_sample_coordinates","Specifies the physical location data of samples. This includes both local grid references and standardized global coordinates, such as latitude and longitude. References a methods that determines the type of grid used, facilitating the plotting of samples on large-scale maps or site-specific projects."
"tbl_sample_description_sample_group_contexts","Links sample descriptions to their respective group contexts, providing a structured way to manage and categorize sample data."
"tbl_sample_description_types","Specifies various types of sample descriptions used in the database."
"tbl_sample_descriptions","Contains detailed descriptions of samples categorized by different description types."
"tbl_sample_dimensions","Contains measurable dimension data for samples, excluding coordinates. This includes attributes such as volume, weight, and depth within stratigraphy or cores."
"tbl_sample_group_coordinates","Contains coordinates related to sample groups, such as the top of a core, the top of a profile, or specific locations on dendrochronological or ceramic objects."
"tbl_sample_group_description_type_sampling_contexts","Associates description types with sampling methods. Specifically used for dendrochronology to group description types based on detail levels, indicating how fields relate to dendrochronological analysis of buildings."
"tbl_sample_group_description_types","Categorizes the types of descriptions related to sample groups. It includes types such as architectural data (e.g., roof type, structural details) or dendrochronological anlabels related to shipwrecks. Note that these descriptions are intended to provide context and should not be used to infer specific features of the samples. Users can add custom lookup data."
"tbl_sample_group_descriptions","Contains definitions or descriptions of groups of samples, categorized by a specific description type."
"tbl_sample_group_dimensions","Contains the physical dimensions of a sample group (e.g., core length) based on a specified dimension type."
"tbl_sample_group_images","Contains images related to sample groups, such as photographs or annotated sketches of cores."
"tbl_sample_group_notes","Contains notes pertaining to groups of samples."
"tbl_sample_group_references","Contains bibliographic information specifically relevant to a sample group, distinct from site or dataset references (e.g., a publication that reinterprets a structure within a site)."
"tbl_sample_group_sampling_contexts","Defines the type of context or situation in which a sample group was collected. It includes the investigation purpose or initial collection intent, such as stratigraphic sequence, invertebrate survey, archaeological excavation, or quantitative vegetation survey. This context aids in filtering and analyzing samples based on specific project types, like climate reconstruction using stratigraphic sequences or habitat analysis using modern survey data."
"tbl_sample_groups","Contains collections of related samples, typically grouped by structures (e.g., House 1), stratigraphic sequences (e.g., profile 3), or lake cores. Groups can be defined flexibly based on research needs."
"tbl_sample_horizons","Represents the specific soil layer from which a sample is collected."
"tbl_sample_images","Contains images related to samples, including site photographs, lab processing images, and microscope images."
"tbl_sample_location_type_sampling_contexts","Gives the relationship between sample location types and their respective sampling contexts."
"tbl_sample_location_types","Categorizes the different types of sample locations used within the system."
"tbl_sample_locations","Contains information about the locations of samples based on predefined types."
"tbl_sample_notes","Contains miscellaneous notes related to samples that do not belong in other tables, such as 'stored in a cellar until processing in 2020'."
"tbl_sample_types","Defines the physical form or category of a sample. This can include specific sub-samples related to the sampling method of a sample group, or general bulk samples. Examples include 'Core Subsample', 'Grab Sample', and 'Bulk (Bag) Sample'."
"tbl_season_types","Contains different categories of seasons."
"tbl_seasons","Contains information about different seasons and their associated months for categorizing activities."
"tbl_site_images","Contains images related to a site, such as site photographs, aerial images, or location maps."
"tbl_site_locations","Associates site identifiers with location names."
"tbl_site_natgridrefs","Contains site coordinates using various national grid systems, such as the UK Ordnance Survey National Grid and Swedish SWEREF99. Each site may have coordinates in multiple grid systems (e.g., Swedish RT90 and SWEREF99TM)."
"tbl_site_other_records","Contains information about data related to specific sites that is not currently stored in SEAD. Each record corresponds to a distinct proxy type, even if multiple proxies are linked to the same publication. Note that some of these datasets might be integrated into SEAD in the future. Requests for data submission can be directed to the SEAD project team."
"tbl_site_preservation_status","Contains data on the preservation levels and threats to cultural heritage sites. Each record represents a unique preservation status or threat. This information was added at the request of PAN (Polar Archaeology Network) members to support the evaluation of threats to Arctic cultural heritage."
"tbl_site_references","Catalogs publications that describe or mention sites. Publications related to specific sample groups, physical samples, or datasets are documented at their respective hierarchical levels."
"tbl_sites","Records detailed information about each excavation or sampling location i.e. a defined location where samples have been collected through excavation."
"tbl_species_association_types","Defines the permissible types of associations between species, such as 'predates on', 'is predated by', 'parasitic on', and 'parasitized by'."
"tbl_species_associations","Represents the relationships between different taxa, including interactions such as predation, parasitism, shared habitats, and synonym links. The directionality of the association (e.g., 'x preys on y') is crucial."
"tbl_taxa_common_names","Stores vernacular or common names of organisms, such as 'bluebottle'."
"tbl_taxa_images","Contains references to images of taxa, stored either in external databases or available online."
"tbl_taxa_measured_attributes","Contains measurements related to the size of organisms, such as maximum length."
"tbl_taxa_reference_specimens","Contains information on reference and type specimens used for the primary description of species."
"tbl_taxa_seasonality","Contains information about the specific parts of the year (e.g., Winter, June) during which certain activities or developmental stages of taxa occur (e.g., adult stage from June to August)."
"tbl_taxa_synonyms","Contains alternative scientific names for taxa, along with primary references for their definition or usage."
"tbl_taxa_tree_authors","Specifies authoritative information for species names or synonyms."
"tbl_taxa_tree_families","Specifies information about taxonomic families."
"tbl_taxa_tree_genera","Contains taxonomic genera information."
"tbl_taxa_tree_master","Represents the finest level of taxonomic classification, typically at the species level. It may also include designations such as 'sp.' for an unspecified single species, 'spp.' for multiple unspecified species, 'grp' for taxonomic groups, or split identifications (e.g., x/y), along with other cases depending on the taxonomic context."
"tbl_taxa_tree_orders","Represents the taxonomic order level within the taxonomic hierarchy."
"tbl_taxonomic_order_biblio","Contains bibliographic references related to the taxonomic ordering or numbering systems. Multiple references may be associated."
"tbl_taxonomic_order_systems","Contains different taxonomic order systems, which provide unique and name-independent identifiers for taxa. It facilitates mapping across various systems, enhancing interoperability between databases."
"tbl_taxonomic_order","Contains taxonomic codes for organizing species within a taxonomic hierarchy or referencing external database systems (e.g., GBIF, Artdatabanken)."
"tbl_taxonomy_notes","Contains general notes on taxa, primarily regarding identification issues (e.g., potential confusion with similar taxa), and may include references and image links."
"tbl_temperatures","Contains temperature-related data with historical context, particularly focusing on isotopic measurements and their corresponding age."
"tbl_tephra_dates","Records tephrachronology-based sample dates, including associated uncertainties and additional notes."
"tbl_tephra_refs","Contains bibliographic information related to the identification and description of tephra layers (volcanic ash deposits)."
"tbl_tephras","Details of volcanic tephra layers, including their age estimates (e.g., Hekla 1984)."
"tbl_text_biology","Contains ecological, habitat, and behavioral information for various taxa, along with references to their sources, such as 'in hollows on old oaks.'"
"tbl_text_distribution","Contains descriptive distribution information for taxa, along with references to the source publications. For example, 'Scandinavia north of Tromsø, British Isles - rare.'"
"tbl_text_identification_keys","Stores identification key extracts along with their bibliographic sources."
"tbl_units","Specifies definitions of measurement units (e.g., mm for millimeters)."
"tbl_value_classes","Specifies a value class describing e.g. a data column"
"tbl_value_qualifier_symbols","Specifies alternative symbols for value qualifiers"
"tbl_value_qualifiers","List of base value qualifiers such as '>', '<' etc"
"tbl_value_type_items","Defines individual category values if value type is categorical"
"tbl_value_types","Specifies actual type of values belonging to a value class"
"tbl_years_types","Contains the names and descriptions of different types of years used for dating, such as radiocarbon or calendar years."
